params,final_capital,total_return,total_return_pct,num_trades,win_rate,max_drawdown,improvement_vs_baseline,status
"{'supertrend_period': 12, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.8}",84838.65580000017,34838.65580000017,69.67731160000034,645,16.124031007751938,78.79872941759197,-25185.62419999983,success
"{'supertrend_period': 12, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.8}",84406.2592,34406.2592,68.8125184,644,15.993788819875776,76.9404611047759,-25618.0208,success
"{'supertrend_period': 12, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.8}",82067.57509999999,32067.575099999987,64.13515019999998,644,16.149068322981368,79.723976051213,-27956.70490000001,success
"{'supertrend_period': 12, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.8}",80163.98890000001,30163.98890000001,60.32797780000002,745,16.778523489932887,75.7059386850686,-29860.291099999988,success
"{'supertrend_period': 12, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.8}",78997.58709999998,28997.587099999975,57.99517419999995,745,16.91275167785235,77.49076454312804,-31026.692900000024,success
"{'supertrend_period': 12, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.8}",77228.02610000008,27228.026100000076,54.45605220000015,689,15.965166908563136,77.17683943681898,-32796.25389999992,success
"{'supertrend_period': 12, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 2.0}",76827.872,26827.872000000003,53.655744000000006,654,16.819571865443425,75.40536791844507,-33196.407999999996,success
"{'supertrend_period': 12, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 2.0}",73637.5264999998,23637.526499999803,47.27505299999961,327,11.314984709480122,52.380830573970314,-36386.753500000195,success
"{'supertrend_period': 12, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 2.0}",72891.47069999998,22891.470699999976,45.782941399999956,331,11.178247734138973,55.65645778814825,-37132.80930000002,success
"{'supertrend_period': 12, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.8}",71825.50420000002,21825.504200000025,43.65100840000005,690,15.942028985507244,80.92379251437268,-38198.775799999974,success
